Basin,NSE
11381500,0.8183931410312653
01057000,0.8625167906284332
06878000,0.5814447999000549
09430600,0.7396708428859711
14306340,0.8759847357869148
04122500,0.28081774711608887
01644000,0.7683662176132202
02077200,0.7365319132804871
04063700,0.36771315336227417
09066000,0.8411588817834854
11532500,0.9140768200159073
12189500,0.8487742841243744
01134500,0.7819517850875854
03460000,0.8044731616973877
01634500,0.6839538514614105
01632000,0.7409530282020569
07083000,0.8678710609674454
01047000,0.8750463873147964
08050800,0.3470875024795532
11451100,0.8099372535943985
02296500,0.7203742861747742
14306500,0.9237300753593445
12082500,0.7676292359828949
09035800,0.9070802703499794
14185000,0.9025424942374229
04221000,0.8798456788063049
02298123,0.6983925402164459
03238500,0.6844262182712555
03504000,0.7422468960285187
06350000,-0.08043932914733887
02381600,0.3636309504508972
09386900,0.4768303632736206
03237280,0.4197993278503418
02369800,0.6259588003158569
14096850,0.7131903171539307
01414500,0.7470197975635529
01664000,0.5070440769195557
07195800,0.6227239370346069
04105700,0.24009627103805542
01123000,0.8291085064411163
02013000,0.8080321699380875
11482500,0.9061011895537376
02015700,0.7854516357183456
03021350,0.669364720582962
03050000,0.8348955512046814
12381400,0.8434595912694931
06919500,0.7271298766136169
01549500,0.7450793981552124
04216418,0.7488249242305756
12041200,0.8532095700502396
06470800,0.3809537887573242
01667500,0.8827148750424385
02363000,0.8318565040826797
02479300,0.517670750617981
02028500,0.6834273338317871
02215100,0.8451282382011414
12117000,0.7408775985240936
02069700,0.5402515828609467
12048000,0.6253903806209564
13235000,0.9155749380588531
08164300,0.7546975612640381
14325000,0.8251758515834808
03364500,0.7456406652927399
08194200,0.1802816390991211
04057510,0.4041925072669983
01638480,0.702393651008606
08023080,0.802308514714241
02395120,0.6871121525764465
03456500,0.8063686490058899
01605500,0.7755744755268097
11468500,0.8886424154043198
01583500,0.5121535360813141
04122200,0.47970283031463623
06614800,0.8726685643196106
01666500,0.7233123183250427
06221400,0.908586286008358
01434025,0.7984715849161148
01669000,-0.011053204536437988
06888500,0.6519896984100342
01022500,0.8425199091434479
01137500,0.7956088781356812
12115000,0.6972227394580841
04296000,0.8776623606681824
14154500,0.8972372114658356
13011500,0.8488848358392715
14185900,0.8853340819478035
02027500,0.5611156225204468
06911900,0.6857840120792389
03070500,0.816020742058754
01170100,0.783666118979454
03182500,0.8833897709846497
05593575,0.7692628055810928
01144000,0.8639811277389526
03338780,0.7939114719629288
01466500,0.571321040391922
14158790,0.8732065707445145
01532000,0.8066690117120743
02051500,0.7869015485048294
07301410,0.548506110906601
04027000,0.8762045800685883
08200000,0.45873910188674927
09494000,0.5151044130325317
07142300,0.1426050066947937
06332515,0.26732873916625977
02216180,0.7364707291126251
09497980,0.7924445569515228
12114500,0.7020840346813202
09107000,0.8872664719820023
11522500,0.8869505822658539
04045500,0.8276330381631851
08150800,-0.5010255575180054
