Basin,CRPS
01022500,1.9849119719452633
01031500,5.918344966594026
01047000,7.54461952314349
01052500,10.197699455951343
01054200,23.03131060747163
01055000,17.030310224434874
01057000,5.519829007657501
01073000,4.892825910361255
01078000,7.3738967721837945
01123000,4.4792118027820855
01134500,4.76674193485192
01137500,7.986889645597115
01139000,3.6120510186315347
01139800,2.11838978510376
01142500,5.382025338196527
01144000,7.320916566543534
01162500,5.336295094412237
01169000,8.739736333035053
01170100,9.418580914580497
01181000,6.072965495055479
01187300,8.277505614909481
01195100,8.630141764988766
01333000,4.384554426328798
01350000,9.621719649519985
01350080,3.8243668419601784
01350140,7.40911734786896
01365000,8.596321049791502
01411300,4.041772393428566
01413500,3.752270087867222
01414500,5.728514882432627
01415000,4.239612172243971
01423000,3.691723308185981
01434025,8.232754334007108
01435000,10.9773070966407
01439500,2.8367412721960505
01440000,4.160312053941738
01440400,4.282356046408744
01451800,5.767053617454552
01466500,0.6504748005894826
01484100,6.429605861958757
01487000,3.3405117575481658
01491000,11.737015722097635
01510000,7.347163050472783
01516500,5.955753284845508
01518862,6.557894070765187
01532000,7.2595302839457245
01539000,5.269736846631599
01542810,6.517310883912226
01543000,3.9868912359798907
01543500,3.9638311247329576
01544500,3.62868935823694
01545600,3.3778083234820424
01547700,5.865428102847356
01548500,2.6565693323791018
01549500,4.007895852393285
01550000,5.187411252742519
01552000,3.7160323322880346
01552500,5.977609290689344
01557500,3.913925500400458
01567500,4.2375077068965865
01568000,5.465624919360984
01580000,4.326775989076979
01583500,4.124456569023594
01586610,6.618475749216142
01591400,9.478725557779253
01594950,9.663856680119927
01596500,4.878633189990029
01605500,4.028612005838289
01606500,5.433459672019703
01632000,14.359616375153397
01632900,4.919847103024749
01634500,6.644159405912076
01638480,12.28150005852985
01639500,4.271547795822308
01644000,6.794493612375654
01664000,4.0766357614447815
01666500,6.297245295065886
01667500,5.141329031199509
01669000,3.628673005850221
01669520,11.688024740177305
02011400,3.025723608942254
02013000,4.805117118063278
02014000,3.815960449362273
02015700,4.542172213979939
02016000,3.589162981139888
02017500,2.770574997932517
02018000,3.393744684221719
02027000,8.819643526336119
02027500,13.956160484232285
02028500,4.800684361048818
02038850,8.585332186906207
02046000,7.714554839752177
02051500,6.941138050979734
02053200,6.1704767899121205
02053800,5.09554645742363
02055100,9.168658542153668
02056900,4.067834875176625
02059500,7.6124231531365965
02064000,9.46070042683349
02065500,8.509815727665288
02069700,3.6184803383544972
02070000,5.155706569388689
02074500,9.692551584563079
02077200,10.575970321842206
02081500,9.474286593063203
02082950,14.118104557234131
02092500,6.855593073406323
02096846,12.120078547826454
02102908,4.044728579046028
02108000,7.883477625780233
02111180,4.639491291173816
02111500,3.344825802226421
02112120,3.475942407711095
02112360,3.5541916006996974
02118500,4.075489414073109
02125000,12.923224516241852
02128000,17.883252924246992
02137727,6.059746425231925
02140991,6.489101084707978
02143000,5.022900854533085
02143040,7.639723610830201
02149000,3.7844745822962533
02152100,8.06489089062214
02177000,5.2673114496299815
02178400,5.149823442835868
02193340,5.846604433969488
02196000,3.2728573642119714
02198100,15.64081762280317
02202600,3.3009693250608514
02212600,4.3363698423922274
02215100,8.515991764127984
02216180,8.683830195147483
02221525,3.445588861613186
02231000,5.485789615195658
02245500,10.343747618499087
02246000,9.694731193239832
02296500,4.09765155394313
02297155,7.12038050095615
02297310,8.876171252930387
02298123,2.3578158984761
02298608,15.352194888492928
02299950,17.262939265273186
02300700,30.672570771385942
02342933,15.239545919381325
02349900,6.64976839120905
02350900,1.4863558663364302
02361000,6.420320947647428
02363000,4.172173915266182
02369800,9.583461230239589
02371500,4.5830600602776475
02372250,11.993647159390743
02374500,6.444146955709812
02381600,13.460805881913997
02384540,10.849141180900626
02395120,9.798930621209097
02415000,5.182796114081398
02427250,12.141593005536542
02430085,7.1242089726345394
02450250,13.85859685144196
02464000,10.050538687405263
02464360,6.4667643976073865
02465493,3.5500578602791877
02469800,5.855550468005047
02472000,6.624503427233336
02472500,5.971841804791958
02479155,14.413623512845717
02479300,9.099337475092698
02479560,6.23093506329146
02481000,12.580211451177
02481510,7.04454374921712
03010655,2.925731412708489
03011800,3.1879808524475273
03015500,3.3741742489288473
03021350,11.984722306217925
03026500,5.770369305669468
03028000,6.097622974485313
03049000,4.188039621337968
03049800,13.272373057187888
03050000,10.015573497815005
03069500,6.72962303107766
03070500,7.915885040397061
03076600,4.248493137819484
03078000,4.646982693295936
03140000,4.983609494765262
03144000,7.617925184649599
03170000,2.563021791586394
03173000,2.0120828859948414
03180500,3.951699739460125
03182500,4.4108850126953705
03186500,8.898492086465476
03237280,12.785041933766841
03237500,12.598744827716216
03238500,14.317246318913444
03241500,5.328186152509756
03280700,10.627098505005621
03281500,6.955146153194466
03285000,12.656884354056585
03291780,10.390615897651882
03338780,6.514361722198477
03340800,6.57344217739794
03346000,6.715634899366923
03364500,6.808718016028356
03366500,7.7270739334483185
03368000,15.122609356533015
03384450,11.31936944985061
03439000,5.789104456174805
03455500,16.83922648140246
03456500,12.929065470236312
03460000,3.459704566613221
03463300,22.583468678311483
03471500,3.5126722990293997
03473000,1.8838508791374464
03479000,8.336019832973566
03488000,4.297041918421617
03498500,6.168417853551759
03500000,3.8008423909402005
03500240,3.9932997368980265
03504000,5.482522724833773
03574500,16.746438017735336
03592718,16.73790826734233
03604000,11.106222120239003
04015330,5.664568796367131
04024430,3.0518313374467088
04027000,2.322953690063526
04040500,2.7791683389692734
04043050,5.818886072584775
04045500,0.6993356346492778
04057510,0.5084973076787074
04057800,3.534749497830952
04059500,3.6210079086934543
04063700,1.4158896415949629
04074950,0.8112521643843957
04105700,0.8155600861306046
04115265,1.3934649881338768
04122200,0.7339797782024061
04122500,0.32295011874544216
04127918,2.109100581512738
04127997,0.6685746353392681
04161580,1.015819249828609
04185000,1.374111123848168
04196800,5.37335994024653
04197100,4.1512701202321285
04197170,11.201833947324339
04213000,11.301566683897917
04213075,14.597559851784112
04216418,7.828794231589411
04221000,3.9172249166371054
04224775,8.017951775883713
04233000,4.069445281914943
04256000,6.126143298678149
04296000,2.6727823417443086
05057200,3.754776181626421
05120500,0.4159768197982824
05291000,3.4247538868731016
05362000,4.395968180305791
05393500,3.4966687627042234
05399500,9.332350972860908
05408000,1.2497890148917352
05413500,3.0073424652423935
05414000,3.155764192109381
05444000,6.086325953051764
05454000,6.472041629490244
05458000,5.696699838120275
05466500,4.67306859549981
05487980,3.0663067738054517
05488200,6.577788014222463
05489000,4.038441735426669
05495000,3.796715120632255
05495500,8.119116578448
05501000,8.520614675410265
05503800,11.708573160724285
05507600,12.277123796955179
05508805,8.26192910262709
05525500,3.9161687267226
05556500,5.664130396846303
05584500,5.856773524902552
05591550,6.746133781475824
05592050,5.817021663222137
05592575,10.155267868103554
05593575,6.485736739211351
05593900,10.682287875838794
05595730,7.932707418040077
06221400,2.6708619501406075
06224000,3.885744703558183
06278300,7.806238542929545
06280300,2.445820032870663
06289000,1.8867543994404938
06291500,0.7867381787850712
06311000,2.298682883572803
06332515,1.520076849030749
06339100,2.8642719645634074
06344600,3.1873559690238755
06350000,1.3672893797127823
06352000,2.247920487486221
06404000,1.7364796226434522
06406000,0.8405535203858291
06409000,0.6568772451632325
06431500,0.23565793707761445
06440200,4.297253683070707
06447500,0.9234259181953204
06470800,6.890613518122752
06477500,0.8290677610590833
06479215,3.656729379488853
06601000,5.49127222149068
06614800,2.049883879537667
06622700,6.854409546951194
06623800,1.7531170088759138
06632400,3.081591954836885
06746095,15.1319520050979
06803510,2.961007538284364
06803530,4.5622289847838235
06814000,4.459909189716395
06847900,0.1380405285450924
06853800,2.3367775529388473
06876700,3.137286316348442
06878000,5.667857865679704
06879650,11.296933232337175
06885500,3.6447971498789453
06888500,6.019375746484844
06889200,5.5059270908323885
06889500,5.7172790500777655
06892000,7.6584034143613895
06903400,3.336717583101562
06906800,9.432834491278763
06910800,5.830728907305312
06911900,5.8884819250376275
06917000,7.262627614864738
06918460,3.9166542828768875
06919500,4.3484122296400685
06921070,6.415800632489145
06921200,10.168047973359442
07057500,3.4702784397957833
07060710,9.792552068134508
07066000,4.813017441307329
07083000,2.7736107760666355
07142300,0.5343673196055148
07145700,8.27263407404739
07167500,18.38842781463054
07180500,9.991722748089172
07184000,11.647951963362324
07195800,10.605514508344106
07196900,16.07265139019267
07197000,8.451061523517325
07208500,0.3197704440201471
07261000,6.2084327873594995
07263295,8.096525804373812
07291000,20.337780651693816
07299670,2.611737406650924
07301410,0.46631998161799215
07315200,4.862804333779861
07315700,3.1597022366093137
07335700,28.16987420558435
07340300,10.291862654380745
07346045,3.483650515040294
07359610,10.976177401133342
07362100,10.649100573802581
07362587,11.834813742022662
07375000,13.420910460284528
08013000,8.165924071229746
08014500,7.180602404307179
08023080,12.035495674947832
08050800,6.91911251281701
08066200,10.99503861037617
08066300,8.30493066436896
08070000,13.299880749670018
08070200,9.807332064755654
08082700,2.3733187763887136
08086212,4.072068570891973
08086290,3.5876354294498256
08101000,6.094157329201879
08103900,6.988041700860295
08104900,11.114988208519389
08109700,3.720163057042039
08150800,6.11641932104367
08158700,9.112914621205785
08158810,12.79005014947251
08164300,10.171646115098701
08164600,14.128352635035258
08165300,7.197061816625535
08171300,11.872362255443864
08175000,6.594240896636691
08176900,15.812084384204914
08178880,22.251591346676804
08189500,6.0386227208635095
08190000,6.815709753806952
08190500,8.00035079068379
08194200,8.81683279308627
08195000,9.30356391987295
08196000,10.881249206380552
08198500,11.251915590829158
08200000,23.241247253900344
08202700,6.429160813847057
08267500,1.4983030262074428
08269000,0.7722363079950076
08271000,1.5079161027327925
08324000,0.28001476597612923
08377900,2.330884036700337
08378500,0.6563180622319982
08380500,2.595011021890299
09035800,1.4255016037489072
09035900,0.992409621108912
09047700,0.980910479375718
09065500,7.018026062006992
09066000,3.2215078850554972
09066200,8.020695645810848
09066300,4.429879252315157
09081600,2.2315712564042673
09107000,0.3888906901097425
09210500,1.51440832087345
09223000,1.1678251404649558
09306242,0.34977586447230335
09312600,2.0305646148603422
09352900,5.89606445694905
09378170,0.9121575265543339
09386900,1.9858222030986628
09404450,0.4451465607039481
09430600,8.690772557803125
09447800,0.7681460252787773
09484600,0.4529104638814631
09492400,2.1222147036889214
09494000,0.7511159842692441
09497980,1.2707420691053661
09505350,4.388499888202951
09505800,4.735033899989586
09508300,12.259766577480477
09510200,3.1940606459571343
09512280,1.5117263260033087
09513780,4.116009133470156
10234500,0.33498641879493074
10244950,0.08833313602623472
10259000,1.744017399214055
10336645,8.858664450297665
10336660,19.238730675862172
10343500,5.186402871009693
11124500,10.1634638750912
11141280,4.061654165239604
11143000,10.101484395349182
11148900,17.50253552056933
11151300,1.7113916370140823
11176400,3.6748275882716284
11230500,1.4384707981177702
11237500,6.295494932177004
11264500,3.524611877110596
11266500,7.72725965120723
11284400,13.052785777460022
11381500,8.794964252501998
11451100,19.347057070044627
11468500,7.182120954968584
11473900,9.302565544717229
11475560,38.29265264687495
11476600,21.93992315025863
11478500,19.224829663410226
11480390,12.56605734808673
11481200,27.528250662739865
11482500,11.977310818106922
11522500,5.661717430938664
11523200,9.040493812363373
11528700,11.771861511545527
11532500,25.898990810757706
12010000,29.077927166869447
12013500,10.747802849947645
12020000,19.770660933788395
12025700,15.286890789340752
12035000,27.926700383471832
12040500,54.58462008352569
12041200,28.186165139840938
12048000,5.481427616268169
12054000,22.738881705480356
12056500,37.37240225671516
12073500,6.800723078247742
12082500,7.6667836735610875
12092000,4.955024762717354
12114500,8.507184309632386
12115000,9.397928690381336
12117000,5.128337804335545
12143600,13.168245915174127
12144000,8.946301576543885
12145500,7.939690139940601
12147500,24.135976977895304
12167000,24.04036188217603
12175500,14.698852952512691
12178100,13.593988258007911
12186000,23.752913904419266
12189500,10.96939240660796
12375900,5.355488669155147
12377150,8.60952226828219
12381400,4.65258471651781
12383500,3.034456393879528
12390700,2.4547591010160525
12411000,7.154402304159493
12447390,2.4509807998449094
12451000,9.121241963198614
12488500,5.953936659313551
13011500,5.987640109359012
13011900,3.3524784441275486
13018300,0.6501235387576314
13023000,0.9649980701621286
13161500,0.5406969092471545
13235000,0.8288491175353215
13240000,8.890919780718349
13313000,2.8038631328391257
13331500,3.4485569302625314
14020000,5.635606018475032
14096850,1.1304020551241125
14137000,6.563550014248272
14138800,32.214253156223506
14138870,15.64735133783387
14138900,25.586302231135985
14139800,29.91955186482558
14141500,12.609404311769692
14154500,5.53346391846143
14158790,12.598322806941201
14166500,12.665790279867174
14182500,25.967461341153317
14185000,11.645595262450662
14185900,15.172490354319004
14187000,5.307237642150483
14216500,11.246322418150957
14222500,10.173688164976289
14236200,14.226998355423234
14301000,4.496842421760578
14303200,17.306135917526863
14305500,28.980691507592354
14306340,12.3350377435932
14306500,6.136399124908051
14308990,6.687114746787742
14309500,7.879687642392261
14316700,8.919778855879217
14325000,10.70975117308612
14362250,4.2187233815494025
14400000,27.14275389355374
